hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect
00014379887908bc,Paris,value,2016Q1,2015Q4,0.0,0,0,2,9
00014379887908bc,Paris,value,2016Q2,2016Q1,-0.09090909090909094,1,0,3,9
00014379887908bc,Paris,value,2016Q3,2016Q2,0.09090909090909094,0,1,4,9
00014379887908bc,Paris,value,2016Q4,2016Q3,0.09090909090909083,1,0,5,9
00014379887908bc,Paris,value,2017Q1,2016Q4,-0.09090909090909083,0,1,6,9
00014379887908bc,Paris,value,2017Q2,2017Q1,0.09090909090909083,1,0,7,9
00014379887908bc,Paris,value,2017Q3,2017Q2,-0.09090909090909083,0,1,8,9
0024a3e654f13a6e,London,breakfast,2015Q4,2015Q3,0.3666666666666666,10,2,1,9
0024a3e654f13a6e,London,breakfast,2016Q1,2015Q4,-0.0888888888888888,8,10,2,9
0024a3e654f13a6e,London,breakfast,2016Q2,2016Q1,0.14814814814814814,17,8,3,9
0024a3e654f13a6e,London,breakfast,2016Q3,2016Q2,-0.059259259259259345,25,17,4,9
0024a3e654f13a6e,London,breakfast,2016Q4,2016Q3,0.050000000000000044,14,25,5,9
0024a3e654f13a6e,London,breakfast,2017Q1,2016Q4,0.1858974358974359,29,14,6,9
0024a3e654f13a6e,London,breakfast,2017Q2,2017Q1,-0.14700854700854693,35,29,7,9
0024a3e654f13a6e,London,breakfast,2017Q3,2017Q2,0.04444444444444429,11,35,8,9
0024a3e654f13a6e,London,cleanliness,2015Q4,2015Q3,0.033816425120772875,13,8,1,9
0024a3e654f13a6e,London,cleanliness,2016Q1,2015Q4,-0.21510297482837526,9,13,2,9
0024a3e654f13a6e,London,cleanliness,2016Q2,2016Q1,0.20350877192982453,20,9,3,9
0024a3e654f13a6e,London,cleanliness,2016Q3,2016Q2,0.13333333333333353,15,20,4,9
0024a3e654f13a6e,London,cleanliness,2016Q4,2016Q3,-0.19259259259259265,17,15,5,9
0024a3e654f13a6e,London,cleanliness,2017Q1,2016Q4,0.19259259259259265,25,17,6,9
0024a3e654f13a6e,London,cleanliness,2017Q2,2017Q1,-0.4125000000000001,22,25,7,9
0024a3e654f13a6e,London,cleanliness,2017Q3,2017Q2,0.012499999999999956,5,22,8,9
0024a3e654f13a6e,London,location,2015Q4,2015Q3,0.03488372093023262,33,14,1,9
0024a3e654f13a6e,London,location,2016Q1,2015Q4,0.05132317562149158,19,33,2,9
0024a3e654f13a6e,London,location,2016Q2,2016Q1,0.004702194357366629,34,19,3,9
0024a3e654f13a6e,London,location,2016Q3,2016Q2,0.12337662337662336,25,34,4,9
0024a3e654f13a6e,London,location,2016Q4,2016Q3,-0.15331010452961658,31,25,5,9
0024a3e654f13a6e,London,location,2017Q1,2016Q4,0.05305947796320054,47,31,6,9
0024a3e654f13a6e,London,location,2017Q2,2017Q1,0.1114551083591333,41,47,7,9
0024a3e654f13a6e,London,location,2017Q3,2017Q2,-0.29691876750700286,18,41,8,9
0024a3e654f13a6e,London,noise,2015Q4,2015Q3,0.07692307692307687,16,8,1,9
0024a3e654f13a6e,London,noise,2016Q1,2015Q4,-0.07692307692307687,8,16,2,9
0024a3e654f13a6e,London,noise,2016Q2,2016Q1,0.2592592592592593,17,8,3,9
0024a3e654f13a6e,London,noise,2016Q3,2016Q2,0.18074074074074065,15,17,4,9
0024a3e654f13a6e,London,noise,2016Q4,2016Q3,-0.31999999999999984,15,15,5,9
0024a3e654f13a6e,London,noise,2017Q1,2016Q4,0.022857142857142687,18,15,6,9
0024a3e654f13a6e,London,noise,2017Q2,2017Q1,0.008658008658008809,23,18,7,9
0024a3e654f13a6e,London,noise,2017Q3,2017Q2,0.26024955436720143,7,23,8,9
0024a3e654f13a6e,London,room,2015Q4,2015Q3,0.06666666666666665,50,30,1,9
0024a3e654f13a6e,London,room,2016Q1,2015Q4,0.0515151515151514,45,50,2,9
0024a3e654f13a6e,London,room,2016Q2,2016Q1,-0.12929292929292924,71,45,3,9
0024a3e654f13a6e,London,room,2016Q3,2016Q2,0.1611111111111112,70,71,4,9
0024a3e654f13a6e,London,room,2016Q4,2016Q3,0.05843373493975901,73,70,5,9
0024a3e654f13a6e,London,room,2017Q1,2016Q4,-0.02843373493975898,90,73,6,9
0024a3e654f13a6e,London,room,2017Q2,2017Q1,0.055135135135135016,101,90,7,9
0024a3e654f13a6e,London,room,2017Q3,2017Q2,-0.06846846846846844,35,101,8,9
0024a3e654f13a6e,London,service,2015Q4,2015Q3,0.10000000000000009,35,26,1,9
0024a3e654f13a6e,London,service,2016Q1,2015Q4,-0.15555555555555567,26,35,2,9
0024a3e654f13a6e,London,service,2016Q2,2016Q1,0.288888888888889,50,26,3,9
0024a3e654f13a6e,London,service,2016Q3,2016Q2,-0.07295597484276728,43,50,4,9
0024a3e654f13a6e,London,service,2016Q4,2016Q3,0.0062893081761006275,44,43,5,9
0024a3e654f13a6e,London,service,2017Q1,2016Q4,-0.03589743589743599,55,44,6,9
0024a3e654f13a6e,London,service,2017Q2,2017Q1,-0.0075808249721291965,59,55,7,9
0024a3e654f13a6e,London,service,2017Q3,2017Q2,-0.23857302118171697,16,59,8,9
0024a3e654f13a6e,London,value,2015Q4,2015Q3,0.1568627450980391,8,7,1,9
0024a3e654f13a6e,London,value,2016Q1,2015Q4,-0.20833333333333326,6,8,2,9
0024a3e654f13a6e,London,value,2016Q2,2016Q1,-0.32499999999999996,10,6,3,9
0024a3e654f13a6e,London,value,2016Q3,2016Q2,0.06956521739130428,13,10,4,9
0024a3e654f13a6e,London,value,2016Q4,2016Q3,0.6041189931350114,9,13,5,9
0024a3e654f13a6e,London,value,2017Q1,2016Q4,-0.36257309941520455,17,9,6,9
0024a3e654f13a6e,London,value,2017Q2,2017Q1,0.03174603174603163,11,17,7,9
0024a3e654f13a6e,London,value,2017Q3,2017Q2,-0.2678571428571428,6,11,8,9
003892d6f23ce033,Paris,breakfast,2016Q1,2015Q4,0.09090909090909094,0,1,2,6
003892d6f23ce033,Paris,breakfast,2016Q4,2016Q3,0.2435897435897435,3,2,5,6
003892d6f23ce033,Paris,breakfast,2017Q3,2017Q2,0.0,0,0,8,6
003892d6f23ce033,Paris,cleanliness,2016Q1,2015Q4,-0.16666666666666674,0,2,2,6
003892d6f23ce033,Paris,cleanliness,2016Q4,2016Q3,-0.18181818181818177,1,1,5,6
