hotel_id,n_periods
4e2dc7fb4e1525e7,9
4e6a319e088ae768,9
4eab38e011783e4f,5
4ee5243560d56abe,9
4ef90b1ccc6a985e,9
4f104366c5a4e3c1,7
4f69fdc472e9e40a,8
4fc14924d108f319,9
4fc7a64d77ebedac,9
4fcce5c35ad33206,6
4fea2de4ee4db3c5,9
5002a415cb128aef,9
50037bd7efd4dba2,9
507b10fb5d02b3fd,9
509bdb04b0cb84b5,9
50e4c1ff158bc8ec,9
5128e972eaf847a6,9
5131ee57d63f089d,9
513c22124ae9c7a9,9
519653c2d9d271c6,8
51bd8e602c730b26,9
51cc9dd8710286f5,9
51d2da9c0f86639c,9
51d55c59364a9509,9
52050ad4f709395e,9
52385d133f1317ed,9
5238613fa14c99a0,9
526fa9f12ed5175e,7
52910ad79ca6bbab,9
5292306d6ac3f590,9
52cd492f5b96bb7a,9
52e45bda63c179d8,9
52f7a53d9d52f8c8,9
530029eef44d43dd,3
530d1194a1ea1132,9
5311313ac5f2834c,9
53132845af8c63ac,9
539591b44d8dcfd2,9
53b227ef8bddb87b,9
53b45433b2454f52,9
53df1b791ef22a39,9
545343709425f474,9
5464849576e5d4f9,9
54af653478caa8b7,9
54b45e7b1674ec84,9
54cfcb5273954f80,9
54e318eeadcf2506,9
55785934e4415281,9
569d26f94c25e4af,9
56b80473088e80a9,2
56c5bb7d28d0aa06,9
56eb3beb416f9ef2,9
56f10007ddbb9ff5,8
571e69f1d44b7bed,9
572188f9033b5899,9
573aaedcd3eac57f,9
57521e2998c099e6,9
57887f3eb2de06cb,6
57e37f5d7dddce62,9
5830ed37e84758d4,9
589590dc42b0cf56,9
58c7828bc1d9ffdc,5
58ccc4d0f0d6a393,9
594f70397bb4e64b,9
5995c3279ab92a30,9
5999911a09a8b6d8,9
59ec8a94cb8f6b0c,9
5a3f36be499a9c17,9
5a42f2f77a4ec2ea,9
5a4483853e2214f5,9
5a4efbdc904e6072,6
5a536cb8d2d70030,4
5ad0225950c979eb,9
5ad27ca90def811c,8
5b4f34e759743410,9
5b5c3f9f7a84f013,9
5bc8426da24058b0,6
5bd1979b6211fe3e,9
5bd46553a7aeeabe,9
5c2f2b0209b22b12,9
5c6ac8c9cfcc8083,9
5c9c3ab6de8b8636,9
5c9d61a06f32fe92,9
5ca449caf0cf472b,8
5ce486c0c376f49f,9
5cfb30c41b2e70d9,9
5cfe1a4ece73362b,9
5d2b1224b4c09c13,9
5d4943233f3a3d39,9
5d7d451afa816ac3,9
5d835f699ccbed92,7
5d860914a64ae223,9
5e04ef33a2ef4ce4,9
5e25c2c969c6bd2b,9
5e61720f2da469af,9
5e6bf0076adb3faa,9
5e7f187a34f33f24,9
5ea36c577666c85b,9
5ebc34e30b66c865,9
5ecbc122a06dbd98,9
5ed601791e1bfa87,9
5ee84f1b44420fe4,9
5f47e8da1f477e4a,9
5f6227a02f0adb59,9
5f72d291fe9e46b0,9
5f9deb22e62c3ff8,9
5fb67263bc063e60,9
5fd3ec54b61ce79d,9
5ff3a0dadd5afd53,9
600683b837e9fa2c,9
608744238003af03,9
609bb02ea0939ff8,9
60e1d40094f4caad,6
60fc41fe4c1308cc,9
610631c2563b0435,9
612f500cb0244c75,8
615126f32fa11e16,9
6183bf9eadb9b6c9,3
61943ca5291c8714,9
61a28cbaed2b2dfc,9
61c3d7a2294da93e,9
61c60e2184b19cda,9
61d6a018bec3dae8,9
61d837f21ede63cf,5
61f2d9e7cd22714e,8
6226418e5cc789f1,9
625f0d817ed634da,9
62ec1d0558f5b3e7,9
6303db29040967f2,9
633069ad00e0a6b5,9
6334cfffc8d791c9,9
639c5d459b4f5dcc,9
63adf3090c4272d7,9
63c48c86df0b5b90,9
63ce94f8a1cf41e2,9
63ded13afb034709,9
63df1ece3ee3ee24,9
64291d6139625a91,9
6479d0a18e8d0565,9
647c41496f97a28e,9
648ecea194206a90,9
649de95e4e9c9ee7,9
64a496f6db2a558c,9
64ddba5f26341072,9
65555cd0e5c48e58,9
658f4d7d2dea712d,9
65938422d890568f,9
65c012125a25b33e,9
66305d5a8f0ce4b2,9
6637d07d5fbf3fdb,9
6650382f63c27183,9
66686528cc73150c,7
66a60f0458946592,9
66c0b9df7d47a4a4,7
66c5453e1d4914af,9
66cb9e32dd522298,7
672f9cf613d9df17,7
674d4b3743d9defa,9
6774286e64c67b93,8
67bf45808269ee3f,9
67d42835042359e7,9
67df83146957298f,2
68066230a2e409e1,9
68167cb9f40b777d,9
682a8af378968290,6
68be4b78519cdb99,9
68cc09fca8c8c7a0,9
68d77ec470c8b933,9
68e79a59e47d94a4,9
68f277ffbaa7cc23,9
69159bd4e62bf2c7,9
6921d662abc5acc1,6
693eb0278f7da676,9
695034ef8ef7263b,9
695b8d0709769224,3
698288a277317b5a,9
69b02fe7a01bbcda,9
69dc6ddd2615bb6d,9
69e727e11a8049ac,9
69fa0c03202c3b11,9
6a2cf903515b16ec,9
6a3b6b926ddfb3eb,9
6a68f0a2e4cbae69,9
6a80eb6db613405c,9
6a9b160b9321dc44,9
6aa0046e22e3f76e,8
6aeb4605b57b38a5,9
6b1f1cdac45be7aa,9
6b20780eca00e9f5,6
6b882cdcb29662c9,9
6b99c157be448e3a,9
6bab1d13740b452a,8
6c12fb6144d8734d,4
6c1402e5bfe52892,9
6c23d578173bb5c3,7
6c2fdb3032ed33ea,9
6c362afcfd4358c0,9
6c58fb835be685ab,9
6c8520970f666b75,9
6d0a807f2ffcd675,9
6d11adc13efe63b9,9
6d68b2bd1b374ae4,9
6d8d056e67d5abbf,9
6d99f0fe24d66513,9
6df90475bce34ca5,9
6e2993f2e9ca030d,9
6e63ecb851c01c92,9
6e65e4fa02202d3e,9
6e747220df3fc171,8
6e972c27877407f9,9
6ee0d583a77d399b,9
6f38dad2dab23287,9
6f511143222afdab,9
6fa24c511ad0eafe,5
6fa995d415a4edbd,9
7026378ed89e1ce8,9
711fc61eed501f54,9
7146a11b10f4747c,9
717539e5d34ed939,9
71904f4bcc6e9fe5,9
71b2e800e0d94722,9
72402f3a9b22794d,9
7251fcf3aad5ec6a,9
72662d1c1bdcfd7b,9
7283d7277a1f04af,9
72a17a75f5578ae9,9
72c4b5f9e83a3602,8
72f5f6dab2828a4b,9
7380a8405ded48a7,9
738b70a9cd890837,9
7401aa6ea44705fd,9
741cec4a4f93e8a8,9
7492b0d0de265097,3
74968eef3004668b,9
74e3355f784e0975,9
751b1e68958af902,9
756ab938c0f81b7c,9
757a0d6f65beacad,9
75f70ddaa5636939,9
76398bc60a7868dc,7
764ec02e91fc4043,9
76bbd2036d71d588,9
76d5441bf61e7e32,4
76dec225c494067a,9
76e592203e730e69,2
772c889c07d946a7,9
77415cff18df4f6e,9
776293d7fa61c336,9
776dc7a639294694,9
777daf848e9dce62,3
779900ba80ed0740,9
77995221d08c1e57,9
77f1d78c14932962,9
77f668399e268619,9
780104af8493f563,9
7835c2d76603a45c,6
786c1b6346dd65b8,9
78892a4e296a8e42,9
788d2ae821e0b312,9
78cdd4ccbf690d8f,2
78ecd800f75c533e,9
796ef4de4c7b4833,7
79b78ce7e6f099e0,9
79c50ee1ab69159b,9
7a28d2b5541e2777,9
7a83b2073b9d0fa2,9
7aa3344a30731338,4
7aae46fe8219345b,9
7b324167d74b437c,9
7b6a7e7516645d5c,9
7ba38027ef7f3b06,9
7bcd58fd7a4273af,9
7c1353a2c2cc5de4,9
7c36ad0237cf8ac3,3
7c6859bcf856abc2,9
7c7b9edcbd941ad0,9
7cb829493eb51e68,9
7d352e4731bb85cb,9
7d3a597d549f2009,9
7d896c6d450900d4,9
7db34d6fa95bdb24,9
7de99cdce9e34976,9
7e1fbfe92ed95a59,8
7e526607e3573196,5
7e5f1c01e2fa94b0,5
7e67ddff0e954f27,9
7eabed9e42ac413f,9
7ec0344bdcf388ab,9
7edc228895ec52f0,8
7f17473552763711,9
7f92d432deac3902,9
7fec8fcb8dfd14b3,9
8029d629692769dc,9
8042e9a1a00f70cb,9
804e77328614bdc1,9
805dcc4982d6e3e3,9
806a218a8ffe603b,9
80868f552cd15fa6,9
80c81be6363450b5,7
80d7774dad96b78c,9
81111812ebdc7728,9
812a3db7afbcc9db,9
812d8198df1d3e1e,9
814c18d1c6726a83,9
816e484bdc86ce32,9
820e9138d1a7d601,9
823280a7eaf342d7,9
8238668a813c8692,9
82676db0501f3c3e,9
8277ebe86116bfa8,9
82a3663dbec25997,9
82a726c374021123,9
830a9897dc6307c3,9
83aecee53fc35e57,9
83b53a54a30341b7,9
83f84762b6e622a2,9
840dc76908beec32,9
84105cb6b7bcf23b,9
843ec3f7d6784d0b,9
844976a96f9c658f,9
847411bdd9ab6648,7
849c53491de5836d,9
84e6b85dd412c0d4,9
852f65a0fbf5b9b3,9
8534da77f97f2f84,9
8583389d60cf84d8,9
859d48614b8571b7,9
85b757f27fd116a7,9
85c2b5a741751814,9
864a923387779c2f,9
8665584d41e0cc44,9
8698e801e03ca779,9
86a782147c70950c,9
86d96dc096d7776e,9
86df8a477add8204,9
86e6a77837eb881f,9
870c64e6c2b256b9,9
872b2b41810dac8c,9
872cb02d526dc663,9
877983be82564c91,9
879428a79e408886,9
87b2f5bdc658a5ea,9
87c21c2b0b9cbfa3,9
87e4a18d063f2cb2,9
87efe63f56cfaeec,9
880a2ee0c5189d1c,9
8890f5f2f27e9eb6,9
88af87fae5d601e7,9
88cf1b3024f817e9,4
88d89c1279f18f48,9
88f6dde53af25c7a,9
89060c4b51923b87,9
8946cdf76645c7f0,9
89681006252c8b44,9
897226058b16b049,7
897cc6d862df55e3,6
897cf26ee194def5,9
89d7e4deb666d56a,9
89fa6bc1041feee3,9
8a7a90e163b09fa5,9
8a9e51617e64e478,9
8abf3f8fcd79bcfb,9
8ad7cd33674d0e8b,4
8ae2b043f5965f20,9
8aea5d2c188d5b6c,9
8af4d67c9acb693f,9
8af90e35b3ed4a16,9
8aff1ddf247af83c,9
8b209d778387347e,8
8b2a9a8373580bf3,9
8bd17c9906cbc201,7
8bf918dfc3d2f555,9
8c211556f5e889cd,9
8cbbf6ee0ba26a00,9
8dc49c1496816448,9
8dc87b1b6e2ed3cf,9
8e5cdaf65ae5380d,5
8e6084e8fdfc3e0f,9
8e793418b18150d8,9
8e8a3a10759078d6,5
8e9b393de9f90e73,9
8ea1d3e69a00b9fb,9
8ea418c06990b20d,9
8ed8a95ceee1f816,9
8eeb30fb4c43fac4,9
8f1c46e9b51f87b2,8
8f498cf6b8017009,6
8f5fe818c1cb772f,9
8f646b5e5c41e560,9
8f677d2354889910,9
8f6bb7bf43ec8598,3
8f7ce37d5b07ec32,9
8f7f1b5f0bcffc1e,9
8f8b76853b9be3ab,9
8ff614c4626fd27d,9
90271d3c7f8fc1aa,9
907880c443b8db9c,9
908312982add40ff,9
911894cb9fe8df1a,9
912b1cf0fde5c3ba,6
91595ef09e8bd484,9
9193c79e6559b9e4,9
91bc99c5254ff636,9
92924ecfcd5a80a2,9
92939d100271239b,9
92e2f39412cfe5d8,9
92ed549e36e32456,9
930c9ebbcdf200b8,9
9314525f13bf274e,7
9342f4cbc694523a,9
9381f8b252bc08ee,9
93ff0ff244c534f6,8
941a01efa64b8873,9
94342cba94013c9e,9
94389f2e5f8bf417,7
943e9715b6ffab7a,9
9458c1ab8cc440d3,6
945cb8e2c53e2839,9
94ab8bc049791b65,9
94e4feefb94ee5c8,7
950a2249793318f1,9
950abad734ef9774,9
9524244cf3d99572,9
954c67ac42e3ed12,9
95693f2ba7648ce4,8
956ef79cc3d4fbe5,9
958a106c3066331f,9
959df98eb473a797,9
959f875bd46e39b9,3
95c645959d8826c7,9
