hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect,pre_ok_index,post_ok_index,pre_present,post_present,has_2pre_2post,peer_count,improving_peer_count,peer_exposure,mean_peer_delta,max_peer_delta,peer_set_available
01650eb9edd0c54b,Vienna,breakfast,2016Q1,2015Q4,0.3913043478260869,13,0,2,9,True,True,2,2,True,10,0,0.0,-0.05171651619794034,0.1428571428571429,True
01650eb9edd0c54b,Vienna,breakfast,2017Q1,2016Q4,0.45641025641025657,20,16,6,9,True,True,2,2,True,10,2,0.2,-0.048371138876927046,0.2684210526315789,True
01650eb9edd0c54b,Vienna,location,2016Q2,2016Q1,0.29581395348837214,33,15,3,9,True,True,2,2,True,10,3,0.3,0.05410178454932082,0.20606060606060606,True
01650eb9edd0c54b,Vienna,room,2016Q1,2015Q4,0.2682926829268293,31,12,2,9,True,True,2,2,True,10,1,0.1,-0.043055515752312104,0.18181818181818177,True
01650eb9edd0c54b,Vienna,service,2017Q1,2016Q4,0.20370370370370372,17,26,6,9,True,True,2,2,True,10,2,0.2,0.02431911148624958,0.407119021134594,True
01650eb9edd0c54b,Vienna,value,2016Q2,2016Q1,0.25791855203619907,16,7,3,9,True,True,2,2,True,10,3,0.3,-0.028854935387193425,0.1678321678321677,True
01650eb9edd0c54b,Vienna,value,2017Q1,2016Q4,0.3203661327231121,9,13,6,9,True,True,2,2,True,10,2,0.2,0.009883965363841517,0.41025641025641024,True
017bd3d2d7a1ae0e,Paris,location,2016Q2,2016Q1,0.1809954751131222,7,3,3,9,True,True,2,2,True,8,2,0.25,-0.033712216661971495,0.26923076923076916,True
017bd3d2d7a1ae0e,Paris,service,2017Q1,2016Q4,0.30065359477124187,7,8,6,9,True,True,2,2,True,9,0,0.0,0.0013530466054204233,0.125,True
01c15fcb4a267f67,London,breakfast,2016Q2,2016Q1,0.15032679738562083,8,7,3,9,True,True,2,2,True,9,2,0.2222222222222222,-0.013175814942993198,0.2222222222222222,True
01c15fcb4a267f67,London,room,2016Q2,2016Q1,0.35882352941176476,10,7,3,9,True,True,2,2,True,9,0,0.0,-0.025102375955906166,0.1428571428571428,True
