hotel_url,hotel_name,latitude,longitude,coord_is_fake,star_rating,star_type,address,city_raw,property_type,price,price_date,price_currency,review_score,review_count,html_file,scraped_at,status
https://www.booking.com/hotel/be/les-dependances.en-gb.html,B&B Les Dépendances,50.48573307750005,4.857195999999931,0,3,quality,"Haut de Bomel, 14, 5003 Namur, Belgium, Haut de Bomel, 14, 5003, Belgium","Haut de Bomel, 14",Hotel,,,,8.6,97,be_les-dependances.html.gz,2026-06-17T04:05:55+00:00,partial
https://www.booking.com/hotel/be/au-chambertin.en-gb.html,Hotel L'Esprit Sain,50.42589549298895,6.026314795017242,0,3,official,"Chemin Rue, 46, 4960 Malmedy, Belgium, Chemin Rue, 46, 4960, Belgium","Chemin Rue, 46",Hotel,286,2026-07-15,EUR,7.6,492,be_au-chambertin.html.gz,2026-06-17T04:06:22+00:00,success
https://www.booking.com/hotel/be/nice-studio-center-ostend.en-gb.html,Shiny Nice studio at Ostend,51.2258605957031,2.91950941085815,0,,,,,,,,,,,be_nice-studio-center-ostend.html.gz,2026-06-17T04:07:29+00:00,partial
https://www.booking.com/hotel/be/villa-valentine.en-gb.html,Villa-Valentine,50.4667015075684,4.86667013168335,0,,,,,,,,,,,be_villa-valentine.html.gz,2026-06-17T04:08:38+00:00,partial
https://www.booking.com/hotel/be/eden-antwerp-by-sheetz-hotels.en-gb.html,TripInn Eden Antwerp,51.21543263544215,4.417509064078331,0,3,official,"Lange Herentalsestraat 25-27, Antwerp District, 2018 Antwerp, Belgium, Lange Herentalsestraat 25-27, 2018, Belgium",Lange Herentalsestraat 25-27,Hotel,112,2026-07-15,EUR,7.1,2647,be_eden-antwerp-by-sheetz-hotels.html.gz,2026-06-17T04:09:05+00:00,success
https://www.booking.com/hotel/be/ambassador-de-panne.en-gb.html,Ambassador Hotel,51.10114379103269,2.586459517478943,0,3,official,"Duinkerkelaan 43, 8660 De Panne, Belgium, Duinkerkelaan 43, 8660, Belgium",Duinkerkelaan 43,Hotel,,,,9.1,471,be_ambassador-de-panne.html.gz,2026-06-17T04:10:09+00:00,partial
https://www.booking.com/hotel/be/hygge.en-gb.html,Hygge Hotel,50.8352837132763,4.3594197975533,0,3,official,"31 Rue des Drapiers, Elsene / Ixelles, 1050 Brussels, Belgium, 31 Rue des Drapiers, 1050, Belgium",31 Rue des Drapiers,Hotel,118,2026-07-15,EUR,8.6,4357,be_hygge.html.gz,2026-06-17T04:10:36+00:00,success
https://www.booking.com/hotel/be/aparthotel-residentie-sweetnest.en-gb.html,Residentie Sweetnest,51.3490648,3.2806115999999292,0,3,quality,"Zonnelaan 16, Albertstrand, 8300 Knokke-Heist, Belgium, Zonnelaan 16, 8300, Belgium",Zonnelaan 16,Hotel,,,,7.8,58,be_aparthotel-residentie-sweetnest.html.gz,2026-06-17T04:11:42+00:00,partial
https://www.booking.com/hotel/be/le-chateau-de-rendeux.en-gb.html,Le Château de Rendeux,50.237605621576414,5.506124496459961,0,3,official,"Rue de Hotton 10, 6987 Rendeux, Belgium, Rue de Hotton 10, 6987, Belgium",Rue de Hotton 10,Hotel,,,,8.3,675,be_le-chateau-de-rendeux.html.gz,2026-06-17T04:12:47+00:00,partial
https://www.booking.com/hotel/be/etap-antwerpen-haven.en-gb.html,ibis budget Antwerpen Port,51.26778224377282,4.400871992111206,0,1,official,"Luithagen Haven 6a, Antwerp District, 2030 Antwerp, Belgium, Luithagen Haven 6a, 2030, Belgium",Luithagen Haven 6a,Hotel,63,2026-07-15,EUR,7.0,3668,be_etap-antwerpen-haven.html.gz,2026-06-17T04:13:10+00:00,success
https://www.booking.com/hotel/be/bungalow-bell-vue.en-gb.html,Bungalow Belle Vue & Chalet International,,,0,,,,,,,,,,,,2026-06-17T04:15:03+00:00,failed
https://www.booking.com/hotel/be/ferienhaus-lorea.en-gb.html,Ferienhaus Lorea,,,0,,,,,,,,,,,,2026-06-17T04:16:45+00:00,failed
https://www.booking.com/hotel/be/carolusmech.en-gb.html,Hotel Brouwerij Het Anker,,,0,,,,,,,,,,,,2026-06-17T04:18:26+00:00,failed
https://www.booking.com/hotel/be/au-chat-39-rme-des-blanches-pierres.en-gb.html,Au Chat'rme des Blanches Pierres,,,0,,,,,,,,,,,,2026-06-17T04:20:07+00:00,failed
https://www.booking.com/hotel/be/la-petite-louve.en-gb.html,La Petite Louve,,,0,,,,,,,,,,,,2026-06-17T04:21:50+00:00,failed
https://www.booking.com/hotel/be/van-der-valk-hotel-brussels-airport.en-gb.html,Van der Valk Hotel Brussels Airport,,,0,,,,,,,,,,,,2026-06-17T04:23:33+00:00,failed
https://www.booking.com/hotel/be/henrietta.en-gb.html,Henriëtta,,,0,,,,,,,,,,,,2026-06-17T04:25:18+00:00,failed
https://www.booking.com/hotel/be/le-relais-de-pommard.en-gb.html,Hotel Le Relais de Pommard,,,0,,,,,,,,,,,,2026-06-17T04:27:02+00:00,failed
https://www.booking.com/hotel/be/des-comtes.en-gb.html,Hotel des Comtes Durbuy,,,0,,,,,,,,,,,,2026-06-17T04:28:45+00:00,failed
https://www.booking.com/hotel/be/la-cantiniere-gerpinnes.en-gb.html,La Cantinière-Gerpinnes,,,0,,,,,,,,,,,,2026-06-17T04:29:59+00:00,failed
https://www.booking.com/hotel/be/bed-amp-breakfast-4-seasons.en-gb.html,B&B 4 Seasons,50.8006991,5.633994700000017,0,4,quality,"Waterstraat 46, 3770 Riemst, Belgium, Waterstraat 46, 3770, Belgium",Waterstraat 46,Hotel,130,2026-07-15,EUR,9.7,183,be_bed-amp-breakfast-4-seasons.html.gz,2026-06-17T04:31:43+00:00,success
https://www.booking.com/hotel/be/b-amp-b-de-bornedrager.en-gb.html,B&B De Bornedrager,,,0,,,,,,,,,,,,2026-06-17T04:34:09+00:00,failed
https://www.booking.com/hotel/be/hemelse-helderheid.en-gb.html,Hemelse Helderheid,,,0,,,,,,,,,,,,2026-06-17T04:35:34+00:00,failed
https://www.booking.com/hotel/be/the-city.en-gb.html,Apartment The City,,,0,,,,,,,,,,,,2026-06-17T04:36:07+00:00,failed
https://www.booking.com/hotel/be/de-buidel.en-gb.html,De Buidel,,,0,,,,,,,,,,,,2026-06-17T04:36:41+00:00,failed
https://www.booking.com/hotel/be/guest-house-la-maison-chantecler-brussels.en-gb.html,Guest house La Maison Chantecler,,,0,,,,,,,,,,,,2026-06-17T04:37:16+00:00,failed
