hotel_url,hotel_name,scraped_at,reason
https://www.booking.com/hotel/be/saint-martin.en-gb.html,Hotel Saint-Martin,2026-06-17T05:09:59+00:00,重试耗尽
https://www.booking.com/hotel/be/interbellum.en-gb.html,Interbellum,2026-06-17T05:11:44+00:00,重试耗尽
https://www.booking.com/hotel/be/faja-lobi.en-gb.html,B&B Faja lobi,2026-06-17T05:13:28+00:00,重试耗尽
https://www.booking.com/hotel/be/groeneveld-oostende.en-gb.html,Groeneveld,2026-06-17T05:15:13+00:00,重试耗尽
https://www.booking.com/hotel/be/mercure-blankenberge-station.en-gb.html,Hotel Mercure Blankenberge Station,2026-06-17T05:16:56+00:00,重试耗尽
https://www.booking.com/hotel/be/campanileantwerpen.en-gb.html,Tulip Inn Antwerpen,2026-06-17T05:18:39+00:00,重试耗尽
https://www.booking.com/hotel/be/acropolis-middelkerke1.en-gb.html,Acropolis,2026-06-17T05:20:24+00:00,重试耗尽
https://www.booking.com/hotel/be/au-pre-bonheur.en-gb.html,Au Pré Bonheur,2026-06-17T05:22:09+00:00,重试耗尽
https://www.booking.com/hotel/be/smartflats-sablon.en-gb.html,Smartflats City - Grand Sablon,2026-06-17T05:26:42+00:00,重试耗尽
https://www.booking.com/hotel/be/bel-appartement-entre-l-39-atomium-et-le-centre-ville.en-gb.html,Charmant studio entre l'atomium et le centre ville,2026-06-17T06:07:13+00:00,重试耗尽
https://www.booking.com/hotel/be/european-institutions-apartments.en-gb.html,European institutions apartments,2026-06-17T06:08:12+00:00,重试耗尽
https://www.booking.com/hotel/be/smartflats-royal.en-gb.html,Smartflats City - Royal,2026-06-17T06:22:58+00:00,重试耗尽
